x,y,z,v_x,v_y,v_z,|U|,acc,rho,pressure
-0.0194704, -0.0183818, 0.0158526, -0.0142583, -0.0143457, -0.206764, 0.207751, 9.70236, 1494.52, 0
-0.0194781, -0.0183898, 0.0168708, -0.0143497, -0.0144556, -0.206263, 0.207266, 9.72731, 1494.17, 0
-0.0194834, -0.0183964, 0.0178897, -0.0144576, -0.0145811, -0.205668, 0.206691, 9.75664, 1493.88, 0
-0.0194877, -0.0184004, 0.0189092, -0.0145656, -0.0147058, -0.204985, 0.206027, 9.78927, 1493.66, 0
-0.0194893, -0.0184022, 0.0199286, -0.014661, -0.0148156, -0.204221, 0.205282, 9.82403, 1493.53, 0
-0.0194888, -0.0184023, 0.0209478, -0.0147322, -0.0148978, -0.203392, 0.204468, 9.85891, 1493.51, 0
-0.019487, -0.0184017, 0.0219664, -0.0147688, -0.0149431, -0.202511, 0.203598, 9.89304, 1493.61, 0
-0.0194847, -0.0183988, 0.0229844, -0.0147647, -0.0149457, -0.201595, 0.202687, 9.92488, 1493.82, 0
-0.0194807, -0.0183956, 0.0240017, -0.0147167, -0.0149028, -0.200661, 0.201751, 9.95423, 1494.17, 0
-0.0194753, -0.018391, 0.0250181, -0.0146264, -0.0148129, -0.199722, 0.200804, 9.97974, 1494.64, 0
-0.0194695, -0.0183861, 0.0260337, -0.01449, -0.014678, -0.198792, 0.199859, 10.0017, 1495.24, 0
-0.0194633, -0.0183795, 0.0270485, -0.0143137, -0.0145, -0.197885, 0.198931, 10.0194, 1495.96, 0
-0.0194561, -0.0183733, 0.0280625, -0.0140982, -0.0142825, -0.197009, 0.198028, 10.0336, 1496.79, 0
-0.0194485, -0.018366, 0.0290757, -0.0138485, -0.0140293, -0.196172, 0.19716, 10.0438, 1497.73, 0
-0.0194403, -0.0183583, 0.030088, -0.0135681, -0.0137447, -0.195382, 0.196334, 10.0506, 1498.76, 0
-0.0194317, -0.0183503, 0.0310994, -0.0132608, -0.0134326, -0.194642, 0.195556, 10.054, 1499.87, 0
-0.0194226, -0.0183413, 0.03211, -0.0129314, -0.0130971, -0.193957, 0.194828, 10.0544, 1501.05, 0
-0.0194133, -0.0183328, 0.0331198, -0.0125827, -0.0127419, -0.193326, 0.194153, 10.0515, 1502.29, 0
-0.0194037, -0.0183233, 0.0341286, -0.0122198, -0.0123708, -0.19275, 0.193533, 10.0468, 1503.58, 0
-0.019394, -0.0183136, 0.0351365, -0.0118454, -0.0119877, -0.19223, 0.192967, 10.0391, 1504.9, 0
-0.0193842, -0.0183041, 0.0361435, -0.0114637, -0.011596, -0.191761, 0.192453, 10.0296, 1506.24, 0
-0.0193743, -0.0182945, 0.0371494, -0.011078, -0.0111995, -0.191343, 0.19199, 10.0175, 1507.6, 0
-0.0193645, -0.0182843, 0.0381544, -0.0106915, -0.0108015, -0.19097, 0.191574, 10.0036, 1508.96, 0
-0.0193546, -0.0182746, 0.0391584, -0.0103068, -0.0104048, -0.190639, 0.1912, 9.99021, 1510.31, 0
-0.0193452, -0.0182651, 0.0401617, -0.00992629, -0.0100115, -0.190343, 0.190864, 9.97539, 1511.66, 0
-0.0193358, -0.0182565, 0.0411645, -0.00955117, -0.00962333, -0.190078, 0.190561, 9.96021, 1512.99, 0
-0.0193268, -0.0182474, 0.042167, -0.00918273, -0.0092411, -0.189839, 0.190286, 9.94552, 1514.29, 0
-0.0193179, -0.0182385, 0.0431692, -0.008821, -0.00886547, -0.189622, 0.190034, 9.93149, 1515.57, 0
-0.0193089, -0.0182297, 0.0441712, -0.00846635, -0.008497, -0.189422, 0.189802, 9.9181, 1516.82, 0
-0.0193002, -0.018221, 0.0451728, -0.00811835, -0.00813635, -0.189236, 0.189585, 9.90588, 1518.04, 0
-0.0192917, -0.0182125, 0.046174, -0.00777685, -0.00778417, -0.189061, 0.189381, 9.89507, 1519.24, 0
-0.0192844, -0.018205, 0.0471751, -0.00744157, -0.00744124, -0.188894, 0.189187, 9.88579, 1520.4, 0
-0.0192771, -0.0181975, 0.0481761, -0.00711282, -0.00710861, -0.188735, 0.189003, 9.87718, 1521.53, 0
-0.0192688, -0.0181904, 0.0491772, -0.00679193, -0.00678748, -0.188583, 0.188827, 9.86998, 1522.63, 0
